id,logFC,p.adjust
AMER2,2.640185929,1.63E-35
STYX,3.332574329,1.72E-35
LORICRIN,3.074460482,1.89E-35
LOC101927247,3.000748429,1.89E-35
TBC1D32,3.178884682,1.91E-35
ZNF579,3.324717818,1.94E-35
TRAF3IP2-AS1,2.5638935,1.96E-35
PLEKHA7,3.025206865,2.15E-35
RNF121,3.186900218,2.38E-35
PARP10,5.182568959,2.40E-35
ATG2B,2.495844,2.57E-35
POLR2J4,2.966885341,2.66E-35
SPRY3,2.431650735,3.10E-35
ZNF34,2.929896206,3.10E-35
PBXIP1,3.292084465,3.10E-35
TMEM134,1.553802912,3.10E-35
CFAP263,2.508845682,3.10E-35
RETREG2,2.695964982,3.54E-35
MCM3AP,2.560932453,3.61E-35
TMEM102,2.579911418,3.61E-35
PRKAG2-AS1,2.206438141,3.99E-35
GUCY2F,3.665426312,4.08E-35
CHKB,2.926546229,4.62E-35
LINC01828,3.970254365,4.76E-35
ZBTB8OS,1.831063412,4.76E-35
FAM224A,2.593316718,5.45E-35
MYPOP,2.195818965,5.45E-35
LINC00112,2.531567006,5.72E-35
KMT5B,2.592190718,6.31E-35
TOP6BL,2.7249831,6.62E-35
MTPAP,2.923288471,6.68E-35
REPIN1,2.537820794,6.68E-35
CENPV,2.831371094,7.02E-35
NDST2,1.922394818,7.02E-35
DAZAP1,3.097449847,7.35E-35
NFYC,2.026169488,7.52E-35
BCLAF3,2.740851912,7.52E-35
LMOD3,2.334972718,8.51E-35
D21S2088E,2.810381753,8.75E-35
ZFTRAF1,3.692977906,9.31E-35
MUL1,3.200634818,9.63E-35
ZSWIM6,2.498437024,9.63E-35
SLC22A15,1.664187571,9.75E-35
ZC3H10,2.765065835,9.76E-35
PPP1R1B,3.104168971,9.79E-35
BRD3,2.13021,1.02E-34
CAMK1D,2.475727959,1.06E-34
RBFOX3,2.012476647,1.12E-34
LOX,2.774437429,1.21E-34
FGF7P3,2.882799412,1.26E-34
TLCD2,2.245536741,1.36E-34
COPG2IT1,1.723726141,1.36E-34
ARHGAP26,2.6886816,1.56E-34
EME1,2.949602171,1.82E-34
CGB3,2.543617324,1.90E-34
PRPH,2.092397518,1.93E-34
NKAIN3,2.339148429,1.93E-34
PSME3IP1,2.203511194,2.14E-34
GIPC1,3.151892688,2.14E-34
SLC12A2-DT,2.394135782,2.31E-34
LOC105373942,1.958802047,2.49E-34
LINC02683,2.839725218,2.51E-34
IRF1,2.834715671,2.58E-34
LINC02433,2.587220029,2.58E-34
LINC00937,2.413804806,2.66E-34
OTOP2,3.243958159,2.79E-34
SEPSECS-AS1,2.525202188,3.02E-34
HMGB4,2.865298447,3.23E-34
LOC107985946,1.559562571,3.23E-34
ZNF883,3.174621088,3.23E-34
PCK1,3.426164418,3.33E-34
STRIP2,1.753170318,3.33E-34
CCDC57,2.597873206,3.33E-34
ZIC5,2.869391553,3.61E-34
KLHL7,2.295514465,3.96E-34
VSTM4,2.972566994,4.02E-34
LINC00997,2.435434306,4.12E-34
LINC00161,2.315897229,4.28E-34
MYOSLID-AS1,1.7176117,4.33E-34
LINC02994,3.128007235,4.63E-34
BYSL,2.123524876,4.63E-34
CBR3,3.058760029,4.80E-34
CD8A,2.225664512,4.98E-34
HEATR4,2.689008776,4.98E-34
PCDHB9,2.877151265,4.99E-34
SCPEP1,2.673416829,5.18E-34
OR2A4,1.778132741,5.18E-34
VENTXP1,2.918260159,5.23E-34
TMEM250,3.0657112,5.26E-34
STX7,2.317005924,5.32E-34
CCDC33,1.771398841,5.33E-34
LOC101928505,1.611461194,5.75E-34
LINC02223,2.703415965,5.87E-34
MCM8,2.589150882,6.15E-34
DDX25,2.721607235,6.17E-34
HOXB1,2.900253006,6.17E-34
MAGIX,2.782113565,6.34E-34
PKHD1,2.385294906,6.85E-34
FAM217A,2.026834812,7.02E-34
SERPINA2,2.243109524,7.06E-34
GEMIN2,2.468768071,7.96E-34
LINC00910,2.357986447,7.96E-34
FOXD2-AS1,2.987442965,8.18E-34
PLEKHM3,1.690390382,8.80E-34
TENM1,1.676392653,9.02E-34
TMEM92,2.394154182,9.53E-34
LINC01019,2.419056924,1.01E-33
SLC39A14,2.7416203,1.01E-33
PROX1-AS1,2.656499347,1.02E-33
LINC00967,1.740123359,1.04E-33
LRRC77P,2.210889912,1.04E-33
ABCG1,2.127294129,1.06E-33
FUT2,2.593514324,1.06E-33
RNF7,3.066721188,1.06E-33
CCDC66,2.247712818,1.18E-33
CDC42EP5,2.475417712,1.20E-33
RPS11P6,1.788981947,1.20E-33
ADAMTS20,2.148049506,1.20E-33
CHD5,2.467265676,1.28E-33
NAA25,2.785367606,1.31E-33
USP12,2.579179176,1.32E-33
MOGAT1,1.798806512,1.32E-33
GNAO1,2.601768524,1.35E-33
SOX17,3.011316171,1.47E-33
MAS1,2.794257612,1.50E-33
PAK2,1.915533859,1.55E-33
GCSIR,2.447459876,1.56E-33
SCN1A,1.565907324,1.57E-33
DDX60L,1.958989247,1.61E-33
GANC,2.566199712,1.62E-33
MAPK8IP2,2.448782588,1.66E-33
DORIP1,2.502358841,1.67E-33
ZNF568,1.512825941,1.68E-33
SLC9A9,3.544963865,1.69E-33
SDS,2.135353788,1.71E-33
GNA15,2.679238706,1.71E-33
THSD4-AS1,1.545879641,1.72E-33
SP110,2.141045594,1.73E-33
PUF60,2.636264053,1.76E-33
AMIGO1,3.017597176,1.78E-33
ANOS1,1.735544118,1.80E-33
VPS33B,2.718098876,1.86E-33
TPM1,1.798662229,1.86E-33
HLA-DMA,2.375404671,1.87E-33
ZNF638,1.518456882,1.87E-33
SFRP4,2.847025529,1.87E-33
MLPH,2.646357676,1.87E-33
TMEM178A,3.280116453,1.90E-33
DNASE1L1,2.781197376,1.90E-33
SPATA41,1.583170729,1.91E-33
WDR64,2.518876794,1.98E-33
CSPG5,2.475285941,1.98E-33
RASGEF1B,2.144687394,2.00E-33
RSU1,2.160701635,2.00E-33
FAM167A-AS1,2.175589918,2.08E-33
LINC01723,2.922851741,2.19E-33
PCP4,2.529962306,2.19E-33
AP1G2,2.722358571,2.20E-33
WDR49,2.367973476,2.36E-33
TPTE2P1,2.147499776,2.37E-33
GGTLC1,2.606873382,2.37E-33
FNBP1,2.3525716,2.40E-33
CPB1,2.918835447,2.43E-33
LINC02431,2.412318329,2.46E-33
ZNF620,1.579905812,2.53E-33
DPH3P1,2.289654459,2.56E-33
CYB5R2,1.921908576,2.56E-33
ACTC1,2.518179206,2.65E-33
ERVMER61-1,3.339843424,2.72E-33
KAT6A,1.948892306,2.76E-33
S100B,2.723013424,2.80E-33
PDE12,1.561190241,2.80E-33
ZNF326,2.298673524,2.81E-33
LINC01580,2.619895253,2.82E-33
RXFP2,1.641900382,2.82E-33
SYT7,1.505635812,2.82E-33
KRAS,1.548347665,2.82E-33
TAS2R19,2.8730728,2.82E-33
KRT10-AS1,3.117202988,2.84E-33
PWAR6,2.188484006,2.86E-33
FCER1G,2.409441894,2.98E-33
LOC105370622,2.410092882,3.04E-33
MT-ND3,1.655600841,3.16E-33
EVC2,1.684236494,3.24E-33
NCK1-DT,2.709164282,3.29E-33
CCDC13-AS1,1.790199047,3.30E-33
CYP11A1,2.369528641,3.45E-33
ZNF766,4.543345129,3.51E-33
NADK2-AS1,1.918876418,3.52E-33
DNAJC14,1.656313359,3.52E-33
PPP6C,2.024546882,3.53E-33
MTMR10,3.920452394,3.53E-33
TTLL10,3.303778259,3.53E-33
SLC8A1,1.892475482,3.58E-33
TMEFF1,2.159857859,3.61E-33
VMA22,2.418762965,3.71E-33
AMELX,3.646620382,3.72E-33
SYCN,3.258008176,3.78E-33
HS6ST1,3.338391047,3.78E-33
DPM3,2.587142165,3.78E-33
GRIK1-AS2,2.205130106,3.84E-33
CYP1A1,2.735765588,3.95E-33
MAP6,3.377106382,4.07E-33
MAB21L3,2.182770806,4.07E-33
HLA-C,3.415086588,4.12E-33
ADHFE1,3.107911818,4.27E-33
ATG14,3.000503729,4.27E-33
ERVH-3,2.622802929,4.28E-33
REEP5,2.709254235,4.28E-33
TRAV24,3.556119376,4.28E-33
IL12A,2.410473118,4.32E-33
LAYN,2.892818712,4.41E-33
RAD21-AS1,2.556657047,4.43E-33
LIPT1,2.822028353,4.43E-33
EXOSC9,1.738545335,4.47E-33
MAST4,2.180859071,4.51E-33
LOC731157,2.840184429,4.52E-33
SOX12,3.516135253,4.54E-33
DMTN,2.267861618,4.63E-33
CYB5R1,1.523355229,4.85E-33
SFTA3,2.012396153,4.89E-33
HPS5,1.991210253,5.13E-33
CEP290,1.954072065,5.31E-33
LINC00424,1.587478782,5.44E-33
BORCS5,3.295995382,5.51E-33
LOC101928618,1.593761894,5.61E-33
CATSPER3,2.613454294,5.61E-33
RAB22A,1.832372271,5.62E-33
KIR2DS1,2.254559388,5.63E-33
ZNF668,2.964045271,5.73E-33
IL12A-AS1,2.380237771,5.76E-33
PKD2,1.651315265,5.91E-33
MED15P9,3.320618482,5.98E-33
DPYSL4,3.742207724,6.05E-33
JRK,2.350419006,6.38E-33
PDE4B,3.011663612,6.43E-33
TEX261,2.027379176,6.61E-33
FAM87A,1.852262218,6.68E-33
DNAJC13,1.526585441,6.80E-33
LYSMD4,1.827746976,6.83E-33
QARS1,2.139812488,6.90E-33
ABCB5,1.608559212,7.06E-33
LINC01686,2.335961429,7.13E-33
MYO1D,2.502817971,7.28E-33
COL21A1,2.406712024,7.31E-33
CCDC168,2.3465252,7.34E-33
F8,2.369743294,7.46E-33
AOX3P-AOX2P,1.723980888,7.54E-33
RPSA,2.239147447,7.54E-33
DXO,2.045205288,7.74E-33
CASS4,2.642400359,8.26E-33
MTHFSD,1.636361865,8.61E-33
NME1,3.785983735,8.61E-33
SMURF1,3.072931924,8.61E-33
POMK,1.664728806,8.61E-33
LOC100506730,1.608709376,8.79E-33
AMBP,2.233938835,8.86E-33
SLC35B2,2.799824141,8.94E-33
CIMIP6,2.890752529,8.95E-33
TMEM132D-AS1,1.958382435,8.95E-33
GPR21,1.7070876,9.07E-33
MRPS28,2.562673288,9.10E-33
ABCD3,2.285299535,9.19E-33
LINC02875,1.766387371,9.19E-33
POU3F1,2.619576518,9.29E-33
TTLL1,2.481181818,9.42E-33
ZPBP2,2.7305758,9.69E-33
ANKS3,2.984158529,9.84E-33
USP34,2.082337218,9.90E-33
HHAT,2.768311441,9.97E-33
NKIRAS1,3.578900147,1.02E-32
TOGARAM1,1.576257941,1.03E-32
SLAMF1,2.367434729,1.03E-32
MRPS25,2.353793806,1.03E-32
SLCO4A1-AS1,2.449735353,1.03E-32
PIK3CA-DT,2.248812553,1.03E-32
ELMOD1,-3.892420841,1.06E-32
DOC2A,2.4706649,1.06E-32
MIR9-2HG,1.717856394,1.07E-32
SELENOM,2.5939714,1.07E-32
LINC01516,1.829724935,1.12E-32
PDE5A,2.321111571,1.12E-32
MIR99AHG,2.3859513,1.14E-32
DSE,2.679442747,1.14E-32
B4GALNT2,2.5832407,1.14E-32
RNF182,2.445505047,1.15E-32
MIGA2,2.854728418,1.20E-32
ARSB,1.512697441,1.20E-32
DHRS12,1.742217929,1.20E-32
LINC00487,1.638470406,1.20E-32
LOC101928361,2.184115576,1.24E-32
GRID1-AS1,2.756722312,1.31E-32
RIBC1,1.820390418,1.34E-32
LINC00102,1.913494047,1.35E-32
MDM4,2.428622853,1.40E-32
HPS6,1.593329024,1.41E-32
IQCG,3.462436065,1.42E-32
C7orf33,1.904732782,1.42E-32
USP46,2.416025671,1.43E-32
CDS2,3.084425629,1.51E-32
OLIG2,1.818161071,1.55E-32
GTPBP3,1.706664771,1.57E-32
CITED4,1.968834918,1.57E-32
NFKBID,2.066593688,1.62E-32
CDKAL1,2.685524112,1.62E-32
LIN37,2.973472165,1.67E-32
ODAM,2.294652588,1.68E-32
IFTAP,1.897329188,1.74E-32
LINC00315,1.659040224,1.76E-32
MIR550A3HG,1.636969053,1.76E-32
SLC23A2,2.192854135,1.77E-32
CTDSP1,2.161696271,1.83E-32
STPG2,1.849501135,1.84E-32
PRRC2B,2.688367394,1.86E-32
ADAMTS13,2.226304018,1.86E-32
MARCHF10-DT,1.635892935,1.92E-32
LOC107984974,1.771325529,1.92E-32
PLEKHG3,2.248940594,1.94E-32
ZNF451-AS1,2.972060594,1.97E-32
PLEKHG5,2.670620559,1.98E-32
TENM4,2.313008988,1.98E-32
DKK3,1.896251041,2.10E-32
KIF26B,2.067838765,2.17E-32
LINC01520,2.039815365,2.17E-32
OTUD5,1.941186018,2.18E-32
CPXM1,1.894492529,2.18E-32
CFLAR-AS1,2.443858276,2.18E-32
KRBOX1-AS1,1.827552947,2.23E-32
HTR6,3.230912012,2.26E-32
VLDLR-AS1,2.557394141,2.33E-32
PRR7-AS1,1.641361618,2.34E-32
NLRP5,1.704804965,2.34E-32
MORN2,2.092032165,2.34E-32
POF1B,1.636710547,2.37E-32
HS3ST3B1,1.757334124,2.41E-32
LINC01703,2.505367153,2.42E-32
LOC101927310,2.499195947,2.48E-32
LINC00298,1.687310341,2.48E-32
DTX3L,3.015489259,2.48E-32
NANOS2,1.782820859,2.50E-32
RBM3,1.630514353,2.55E-32
OOSP2,1.6015596,2.63E-32
TOP3A,2.648581771,2.66E-32
SRGAP3-AS2,1.596915382,2.67E-32
ABCG4,2.388577841,2.67E-32
NFS1,2.047946212,2.69E-32
EXOSC10,2.055390459,2.74E-32
LL22NC03-63E9.3,2.242932759,2.76E-32
AMPD2,2.679037506,2.77E-32
PIK3R6,1.964795229,2.80E-32
ZNF276,1.588320476,2.82E-32
SRP72,1.948159341,2.82E-32
LINC00564,1.475900071,2.82E-32
HAMP,2.554902888,2.84E-32
KLHL31,1.696832329,2.85E-32
RFX6,1.670438194,2.88E-32
MINDY2-DT,2.462506388,2.92E-32
BUD13,2.725744929,2.94E-32
PCYT1A,1.618902394,2.95E-32
NRG1-IT1,1.591659982,3.04E-32
CYP1B1-AS1,2.077928118,3.05E-32
GHR,2.418814276,3.07E-32
OR8B8,1.784150724,3.07E-32
IPO5P1,1.503666335,3.07E-32
UBE2W,2.003264706,3.07E-32
TINCR,3.264450759,3.07E-32
ZNF233,2.224481324,3.10E-32
RBM26,1.715311124,3.10E-32
SLC38A4-AS1,2.905741812,3.19E-32
WRAP53,2.229662871,3.20E-32
SMC3,2.364740488,3.22E-32
AURKA,1.662326182,3.25E-32
GNAO1-AS1,2.026279129,3.27E-32
DLGAP2,1.706103876,3.29E-32
RAB8B,2.278936365,3.29E-32
CSNK1G2,2.946492288,3.29E-32
LOC100130268,2.583547018,3.39E-32
VWA5B2,1.849016535,3.39E-32
SRXN1,3.192630765,3.48E-32
DDX59-AS1,2.110502859,3.51E-32
CTIF,1.530069853,3.61E-32
CIRBP-AS1,2.263484335,3.63E-32
CAPS2,2.371400071,3.67E-32
LINC02880,1.970892871,3.73E-32
TXNDC15,1.693377388,3.73E-32
GALNTL5,3.224927453,3.74E-32
IRS4,1.920042588,3.76E-32
LRRC3B,2.142204359,3.82E-32
ADSL,2.513137759,3.89E-32
TLCD5,2.309965912,4.02E-32
GOLGA8N,2.342656624,4.03E-32
CDC20,1.883563388,4.03E-32
TRAF1,2.292562294,4.04E-32
RND2,1.547581159,4.05E-32
C8orf17,1.561582665,4.07E-32
ZIK1,2.236467776,4.17E-32
SUSD6,2.152350759,4.25E-32
HMGN3-AS1,2.174285329,4.26E-32
DTD2,1.841493535,4.33E-32
TSPAN3,1.670496753,4.36E-32
CIB3,1.500877524,4.38E-32
GPRC5D-AS1,2.559551812,4.38E-32
ZDHHC15,2.257028012,4.40E-32
MIR4500HG,1.628435218,4.40E-32
STXBP5,3.590784553,4.40E-32
CCDC137,2.724205282,4.43E-32
ZBTB16,2.929676235,4.44E-32
NEDD4L,2.396842112,4.44E-32
DENND4C,2.634129688,4.44E-32
HSPA1L,2.116036147,4.45E-32
FGD3,1.847921612,4.46E-32
IGFBPL1,2.536265653,4.50E-32
TMEM35B,1.6960599,4.51E-32
LINC02226,3.093563329,4.51E-32
LINC00665,1.548910282,4.52E-32
LINC00620,2.957351659,4.56E-32
GLYATL1,1.702684865,4.56E-32
TG,2.609376412,4.58E-32
RNPC3,2.246026171,4.58E-32
CACNA1C,1.9487472,4.58E-32
LINC02047,1.984246524,4.61E-32
ZNF776,2.051852547,4.63E-32
FUT11,2.767221824,4.66E-32
ALX4,1.592687682,4.66E-32
LINC01138,1.670035571,4.70E-32
RASSF7,3.220966212,4.73E-32
LIPF,2.277822788,4.73E-32
PAQR9,1.722507171,4.77E-32
LINC03014,1.761650824,4.77E-32
HP1BP3,1.735321218,4.84E-32
DUXAP8,1.725485206,4.84E-32
RASSF6,2.930421159,4.92E-32
CCDC185,1.674561718,5.00E-32
CNOT8,2.608442576,5.13E-32
GPATCH2,2.1334708,5.19E-32
CNTN1,2.117733729,5.22E-32
FOXO3,2.528187094,5.23E-32
MIR4527HG,1.884194076,5.33E-32
HDHD5-AS1,2.030447429,5.33E-32
EYA4,1.638963235,5.33E-32
RP1L1,1.606164647,5.33E-32
ARHGAP22,1.663537959,5.33E-32
OARD1,3.082283818,5.41E-32
ZNF548,2.676043635,5.47E-32
THOC2,1.9184674,5.74E-32
WHR1,2.772522347,5.83E-32
MTHFD1L,1.711497371,5.92E-32
F11,1.547046782,5.97E-32
CA3,1.990518976,6.03E-32
ANKRD19P,1.734300241,6.05E-32
PRAF2,1.685309688,6.13E-32
LRRC55,3.256571329,6.16E-32
CALY,1.754648353,6.17E-32
ABCA13,1.681716759,6.18E-32
SNRPG,2.980663724,6.19E-32
SNX7,1.629735224,6.21E-32
NPY5R,3.175969571,6.26E-32
LINC00928,1.588916765,6.30E-32
HRH1,2.252665288,6.32E-32
PNLIPRP3,2.285475182,6.32E-32
DNAJC25,1.917453871,6.38E-32
PDP2,1.6238377,6.42E-32
KCTD7,2.276853665,6.44E-32
ACTL10,1.616502859,6.44E-32
MRPL57,2.437054694,6.44E-32
CFAP126,2.576795118,6.50E-32
PTGER4P2-CDK2AP2P2,1.828214347,6.77E-32
CCDC74A,1.861484141,6.77E-32
KIF20B,2.210190765,6.78E-32
LINC01252,3.148318812,6.79E-32
HOMER2,1.828430482,6.90E-32
TRIM43,1.730918147,6.95E-32
NSUN5P2,2.145247453,7.18E-32
CARMIL3,2.443185659,7.23E-32
PIRT,2.836977947,7.24E-32
CTNNA3,1.842548082,7.24E-32
GABRA3,1.861147782,7.24E-32
EFCAB12,1.802286771,7.24E-32
CYP4Z2P,1.886976488,7.25E-32
LAMB2P1,2.605192641,7.26E-32
LINC01800,1.608587235,7.32E-32
TBX15,1.7677779,7.47E-32
MBLAC1,2.392919676,7.57E-32
MCAT,1.570653053,7.65E-32
LOC103344931,1.578104771,7.81E-32
VAMP5,1.974065729,7.84E-32
SAMD11,2.036305759,7.90E-32
FAM9B,3.4363628,7.92E-32
RPIA,2.794065912,8.00E-32
TPSAB1,1.830225565,8.38E-32
TDRD5,2.868052841,8.38E-32
TIA1,1.847346771,8.48E-32
CXCL17,2.139023635,8.55E-32
ZNF815P,1.769733994,8.66E-32
TPST1,3.072179271,8.69E-32
DERL3,1.738507176,8.69E-32
PPP2CA,3.268952241,8.74E-32
FXYD5,2.597020124,8.74E-32
LNPK,3.621287712,8.83E-32
TM9SF4,1.726310159,8.86E-32
LOC102723769,2.511619776,8.95E-32
LOC105370832,1.482658847,9.03E-32
ARHGEF16,1.626730506,9.16E-32
FBXL18,1.677082206,9.25E-32
CFAP65,1.680917653,9.32E-32
TOX-DT,1.653014924,9.75E-32
PDS5B,1.547998335,9.76E-32
SAV1,2.081981218,9.76E-32
LINC01101,2.202381624,9.93E-32
GPR6,1.885829506,1.01E-31
PIGL,1.788963629,1.03E-31
DNAH17,2.117855912,1.04E-31
TMEM95,2.304893465,1.06E-31
PLCG1-AS1,2.382991929,1.08E-31
TIMM44,2.544562435,1.08E-31
LINC02864,1.973830124,1.10E-31
SATB2-AS1,1.621103041,1.10E-31
RGMB-AS1,1.710962488,1.10E-31
DDX3X,3.030422888,1.10E-31
NALCN-AS1,2.370834218,1.10E-31
GCNT1,1.637532918,1.15E-31
LINC00515,1.745623559,1.18E-31
UBXN7,1.623106018,1.18E-31
ISX,1.731643124,1.21E-31
TCTA,2.237537535,1.22E-31
RASA4,1.759492847,1.25E-31
WHAMM,2.498693441,1.25E-31
ESX1,1.880828976,1.27E-31
RAMAC,2.325698747,1.31E-31
LOC101929473,2.708953859,1.31E-31
LOC101928343,2.000939806,1.32E-31
TPTE2P6,2.234518588,1.32E-31
CCDC122,1.902323688,1.34E-31
PRR35,3.072350729,1.34E-31
HSD17B12,1.665714865,1.35E-31
MAP3K20-AS1,1.566683194,1.36E-31
CYP2A7,2.043248306,1.36E-31
ASB16,1.443386541,1.37E-31
NHLRC4,1.665102206,1.41E-31
LINC01206,2.272404341,1.41E-31
PRKAG2-AS2,1.758853318,1.42E-31
ORAI2,2.718937118,1.42E-31
ANKRD54,1.510266176,1.43E-31
NOP9,2.646094818,1.44E-31
PNPLA8,2.154083153,1.47E-31
CSNK1A1,1.649765471,1.47E-31
LOC105369816,1.697500212,1.47E-31
SOX3,2.729360047,1.47E-31
NMRK1,2.646081371,1.52E-31
STH,1.502084088,1.52E-31
LOC101928009,1.586494447,1.52E-31
LINC02355,2.019226941,1.52E-31
TXLNB,1.647600888,1.53E-31
C15orf40,2.829927606,1.54E-31
SIGLEC17P,2.0104626,1.56E-31
HSPE1,2.244310071,1.56E-31
LOC105374690,1.733709841,1.58E-31
KMT2C,2.050658482,1.59E-31
DEFB121,1.698937747,1.59E-31
IPO5,1.544614653,1.60E-31
ABTB2,2.351124153,1.60E-31
THNSL2,3.790610524,1.66E-31
OLIG3,1.732503212,1.66E-31
TRAPPC13,2.401196953,1.69E-31
RTN4RL1,2.273776076,1.70E-31
UQCC6,1.914332335,1.70E-31
LPGAT1,1.658710618,1.72E-31
SOX8,2.480451771,1.73E-31
PARD3B,2.413425812,1.73E-31
TIMM17B,1.5183747,1.75E-31
PDGFRL,2.161936,1.76E-31
VIL1,2.0096137,1.82E-31
KANK3,1.550042329,1.87E-31
FANK1,1.734281247,1.89E-31
SLC27A6,2.597283206,1.90E-31
JPH1,1.892053682,1.92E-31
LINC00960,1.612628506,1.92E-31
CEBPB,2.312296906,1.93E-31
UNC5D,1.627995776,1.98E-31
SULT1B1,1.683141012,1.99E-31
RFC3,2.462431753,1.99E-31
LOC100505782,1.739145418,2.02E-31
USH1G,1.434269094,2.03E-31
KRTAP4-7,1.908626788,2.04E-31
LINC00460,2.632148218,2.04E-31
SEZ6,1.930230865,2.12E-31
TRDN-AS1,2.141582847,2.19E-31
CEP89,1.894629365,2.20E-31
PAIP1,2.084425418,2.20E-31
ISL2,1.631875159,2.20E-31
GCHFR,1.596002418,2.21E-31
EPM2A,3.598683129,2.24E-31
LOC101928861,1.844790006,2.26E-31
TBC1D20,2.019736141,2.27E-31
TRAF3,2.739241218,2.28E-31
DEPDC4,1.960637971,2.29E-31
GATAD1,4.560464853,2.30E-31
SOS1,3.0962682,2.32E-31
FAM98B,2.428929976,2.35E-31
NOC2L,2.356762182,2.39E-31
WWC1,2.798884241,2.39E-31
HCRT,1.511556641,2.40E-31
SYDE2,1.819921112,2.46E-31
SDAD1-AS1,2.354854312,2.46E-31
PTPRA,1.705335735,2.47E-31
PCSK1N,2.272764094,2.50E-31
FMO9P,1.472468376,2.50E-31
DPY19L1,1.879809529,2.50E-31
UTRN,2.094364312,2.50E-31
ARHGEF12,1.821664135,2.51E-31
DAAM2-AS1,2.038910447,2.52E-31
LOC105379524,2.488476759,2.54E-31
LINC01852,2.391112806,2.59E-31
NAV3,1.496363576,2.62E-31
CFAP221,1.439341524,2.64E-31
RCAN2,1.903371553,2.65E-31
RASAL3,2.176159124,2.65E-31
GLRX2,1.525634382,2.68E-31
PRKG1-AS1,1.932857806,2.69E-31
CLEC2D,2.096732747,2.70E-31
EMSLR,2.898786976,2.75E-31
DYNLT2,1.558271706,2.79E-31
OXER1,2.199215494,2.79E-31
CCT5,2.397529059,2.85E-31
PHEX,1.591021653,2.85E-31
SLC20A1-DT,2.317175959,2.86E-31
SPMIP6,2.500334124,2.86E-31
LINC01931,2.079219676,2.87E-31
TDRD6,1.667288794,2.88E-31
SNRPD1,2.653822306,2.88E-31
MYH13,2.383543135,2.92E-31
CSTF3-DT,2.095742053,2.92E-31
KIF11,1.902938824,2.95E-31
TCL6,3.274657724,2.95E-31
ZSWIM1,2.488512388,2.96E-31
JPH2,2.114877624,3.02E-31
NARS2-AS1,1.697532735,3.08E-31
GRIK5,2.609388565,3.10E-31
LINC00671,1.829593471,3.10E-31
BHMT2,2.347596724,3.23E-31
SYCP3,1.981898547,3.24E-31
SCFD2-AS1,2.161526935,3.25E-31
LINGO1-AS1,1.701586206,3.26E-31
ASGR1,2.519680906,3.30E-31
PGAM5,2.644473771,3.33E-31
LCT-AS1,1.722212671,3.34E-31
LINC00558,1.566274012,3.37E-31
BTBD8,2.036795547,3.37E-31
LOC442028,1.989584888,3.37E-31
PDPR,1.618998676,3.39E-31
MTSS2,3.061194606,3.41E-31
ARHGEF1,1.792824635,3.42E-31
CD96,1.966741288,3.42E-31
ERVFH21-1,2.305527929,3.44E-31
ZNF518A,2.299161318,3.49E-31
LINC01725,1.631150271,3.49E-31
